"ab","","акы","ҩба","хҧа","ҧшьба","хәба","фба","бжьба","ааба","жәба","жәаба","жәеиза","жәаҩа","жәаха","жәиҧшь","жәохә","жәаф","жәибжь","жәаа","зеижә","ҩажәа"
"af","nul","een","twee","drie","vier","vyf","ses","sewe","agt","nege","tien","elf","twaalf","dertien","veertien","vyftien","sestien","sewentien","agtien","negentien","twintig"
"am","ባዶ","አንድ","ሁለት","ሶስት","አራት","አምስት","ስድስት","ሰባት","ስምንት","ዘጠኝ","አስር","አስራ አንድ","አስራ ሁለት","አስራ ሶስት","አስራ አራት","አስራ አምስት","አስራ ስድስት","አስራ ሰባት","አስራ ስምንት","አስራ ዘጠኝ","ሃያ"
"ar","صِفْر","واحِد","اِثنان","ثَلاثة","أرْبَعَة","خَمْسة","سِتَّة","سَبْعَة","ثَمانِية","تِسْعة","عَشَرة","أحد عشر","اثنا عشر","ثلاثة عشر","أربعة عشر","خمسة عشر","ستة عشر","سبعة عشر","ثمانية عشر","تسعة عشر","عشرون"
"as","শূন্য","এক","দুই","তিনি","চাৰি","পাঁচ","ছয়","সাত","আঠ","ন","দহ","এঘাৰ","বাৰ","তেৰ","চৈধ্য","পোন্ধৰ","ষোল্ল","সোতৰ","ওঠৰ","ঊন্নৈছ","বিছ"
"ay","n/a","maya","paya","quimsa","pusi","pheska","sojjta","pakallko","quimsakallko","llätunca","tunca","tunca mayani","tunca payani","tunca quimsani","tunca pusini","tunca pheskani","tunca sojjtani","tunca pakallkoni","tunca quimsakallkoni","tunca llätuncani","pä tunc"
"az","sıfır","bir","iki","üç","dörd","beş","altı","yeddi","səkkiz","doqquz","on","on bir","on iki","on uç","on dörd","on beş","on altı","on yeddi","on səkkiz","on doqquz","iyirmi"
"ba","ноль","бер","ике","өс","дүрт","биш","алты","ете","һигеҙ","туғыҙ","ун","ун бер","ун ике","ун өс","ун дүрт","ун биш","ун алты","ун ете","ун һигеҙ","ун туғыҙ","егерме"
"be","нуль","адзін","два","тры","чатыры","пяць","шэсць","сем","восем","дзевяць","дзесяць","адзінаццаць","дванаццаць","трынаццаць","чатырнаццаць","пятнаццаць","шаснаццаць","семнаццаць","васемнаццаць","дзевятнаццаць","дваццаць"
"bg","нула","едно","две","три","четири","пет","шест","седем","осем","девет","десет","единадесет","дванадесет","тринадесет","четиринадесет","петнадесет","шестнадесет","седемнадесет","осемнадесет","деветнадесет","двадесет"
"bn","শুন্য","এক","দুই","তিন","চার","পাঁচ","ছয়","সাত","আট","নয়","দশ","এগার","বার","তের","চোদ্দ","পনের","ষোল","সতের","আঠার","উনিশ","বিশ"
"br","mann","unan","daou","tri","pevar","pemp","c’hwec’h","seizh","eizh","nav","dek","unnek","daouzek","trizek","pevarzek","pemzek","c’hwezek","seitek","triwec’h","naontek","ugent"
"ca","zero","u","dos","tres","quatre","cinc","sis","set","vuit","nou","deu","onze","dotze","tretze","catorze","quinze","setze","disset","divuit","dinou","vint"
"co","zeru","unu","dui","trè","quattru","cinque","séi","sétte","óttu","nóve","déce","òndeci","dòdeci","trèdeci","quattòrdeci","quindeci","sèdeci","dicessétte","dicióttu","dicennóve","vinti"
"cs","nula","jeden","dva","tři","čtyři","pět","šest","sedm","osm","devět","deset","jedenáct","dvanáct","třináct","čtrnáct","patnáct","šestnáct","sedmnáct","osmnáct","devatenáct","dvacet"
"cy","dim","un","dau","tri","pedwar","pump","chwech","saith","wyth","naw","deg","un ar ddeg","deuddeg","tri ar ddeg","pedwar ar ddeg","pymtheg","un ar bymtheg","dau ar bymtheg","deunaw","pedwar ar bymtheg","ugain"
"da","nul","en","to","tre","fire","fem","seks","syv","otte","ni","ti","elleve","tolv","tretten","fjorten","femten","seksten","sytten","atten","nitten","tyve"
"de","null","eins","zwei","drei","vier","fünf","sechs","sieben","acht","neun","zehn","elf","zwölf","dreizehn","vierzehn","fünfzehn","sechzehn","siebzehn","achtzehn","neunzehn","zwanzig"
"el","μηδέν","ένα","δύο","τρία","τέσσερα","πέντε","έξι","επτά","οκτώ","εννέα","δέκα","έντεκα","δώδεκα","δεκατρία","δεκατέσσερα","δεκαπέντε","δεκαέξι","δεκαεπτά","δεκαοκτώ","δεκαεννέα","είκοσι"
"en","zero","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","thirteen","fourteen","fifteen","sixteen","seventeen","eighteen","nineteen","twenty"
"eo","nulo","unu","du","tri","kvar","kvin","ses","sep","ok","naŭ","dek","dek unu","dek du","dek tri","dek kvar","dek kvin","dek ses","dek sep","dek ok","dek naŭ","dudek"
"es","cero","uno","dos","tres","cuatro","cinco","seis","siete","ocho","nueve","diez","once","doce","trece","catorce","quince","dieciséis","diecisiete","dieciocho","diecinueve","veinte"
"et","null","üks","kaks","kolm","neli","viis","kuus","seitse","kaheksa","üheksa","kümme","üksteist","kaksteist","kolmteist","neliteist","viisteist","kuusteist","seitseteist","kaheksateist","üheksateist","kakskümmend"
"eu","zero","bat","bi","hiru","lau","bost","sei","zazpi","zortzi","bederatzi","hamar","hamaika","hamabi","hamahiru","hamalau","hamabost","hamasei","hamazazpi","hemezortzi","hemeretzi","hogei"
"fa","صفر","یک","دو","سه","چهار","پنج","شش","هفت","هشت","نه","ده","یازده","دوازده","سیزده","چهارده","پانزده","شانزده","هفده","هجده","نوزده","بیست"
"fi","nolla","yksi","kaksi","kolme","neljä","viisi","kuusi","seitsemän","kahdeksan","yhdeksän","kymmenen","yksitoista","kaksitoista","kolmetoista","neljätoista","viisitoista","kuusitoista","seitsemäntoista","kahdeksantoista","yhdeksäntoista","kaksikymmentä"
"fo","null","ein","tveir","tríggir","fýra","fimm","seks","sjey","átta","níggju","tíggju","ellivu","tólv","trettan","fjúrtan","fimtan","sekstan","seytjan","átjan","nítjan","tjúgu"
"fr","zéro","un","deux","trois","quatre","cinq","six","sept","huit","neuf","dix","onze","douze","treize","quatorze","quinze","seize","dix-sept","dix-huit","dix-neuf","vingt"
"fy","nul","ien","twa","trije","fjouwer","fiif","seis","sân","acht","njoggen","tsien","alve","tolve","trettjin","fjirtjin","fyftjin","sechtjin","santjin","achttjin","njoggentjin","tweintich"
"ga","náid","aon","dó","trí","ceathair","cúig","sé","seacht","ocht","naoi","deich","aon déag","dó dhéag","trí déag","ceathair déag","cúig déag","sé déag","seacht déag","ocht déag","naoi déag","fiche"
"gd","neoni","aon","dà","trì","ceithir","cóig","sia","seachd","ochd","naoi","deich","aon deug","dà dheug","trì deug","ceithir deug","còig deug","sia deug","seachd deug","ochd deug","naoi deug","fichead"
"gl","cero","un","dous","tres","catro","cinco","seis","sete","oito","nove","dez","once","doce","trece","catorce","quince","dezaseis","dezasete","dezaoito","dezanove","vinte"
"gn","mba’eve","peteĩ","mokoĩ","mbohapy","irundy","po","poteĩ","pokóĩ","poapy","porundy","pa","pateĩ","pakóĩ","pa’apy","pa irundy","pa po","pa poteĩ","pa pokóĩ","pa poapy","pa porundy","mokóĩ pa"
"gu","શૂન્ય","એક","બે","ત્રણ","ચાર","પાંચ","છ","સાત","આઠ","નવ","દસ","અગિયાર","બાર","તેર","ચૌદ","પંદર","સોળ","સત્તર","અઢાર","ઓગણિસ","વીસ"
"gv","neunhee","naneun","jeesdaa","tree","kiare","queig","shey","shiaght","hoght","nuy","jeih","nane-jeigunnane-jeig","daa-yeig","tree-jeig","kiare-jeig","queig-jeig","shey-jeig","shiaght-jeig","hoght-jeig","nuy-jeig","feed"
"ha","sifili","d’aya","biyu","uku","hud’u","biyar","shida","bakwai","takwas","tara","goma","goma sha d’aya","goma sha biyu","goma sha uku","goma sha hud’u","goma sha biyar","goma sha shida","goma sha bakwai","goma sha takwas","goma sha tara","ashirin"
"he","אֶפֶס","אֶחָד","שְׁנַיִם","שְׁלֹשָׁה","אַרְבָּעָה","חֲמִשָּׁה","שִׁשָּׁה","שִׁבְעָה","שְׁמוֹנָה","תִּשְׁעָה","עֲשָׂרָה","אֲחַד-עָשָׂר","שְׁנֵים-עָשָׂר","שְׁלֹשָה-עָשָׂר","אַרְבָּעָה-עָשָׂר","חֲמִשָּׁה-עָשָׂר","שִׁשָּׁה-עָשָׂר","שִׁבְעָה-עָשָׂר","שְׁמוֹנָה-עָשָׂר","תִּשְׁעָה-עָשָׂר","עֶשְׂרִים"
"hi","शून्य","एक","दो","तीन","चार","पाँच","छः","सात","आठ","नौ","दस","ग्यारह","बारह","तेरह","चौदह","पंद्रह","सोलह","सत्रह","अठारह","उन्नीस","बीस"
"hr","nula","jedan","dva","tri","četiri","pet","šest","sedam","osam","devet","deset","jedanaest","dvanaest","trinaest","četrnaest","petnaest","šesnaest","sedamnaest","osamnaest","devetnaest","dvadeset"
"hu","nulla","egy","kettő","három","négy","öt","hat","hét","nyolc","kilenc","tíz","tizenegy","tizenkettő","tizenhárom","tizennégy","tizenöt","tizenhat","tizenhét","tizennyolc","tizenkilenc","húsz"
"hy","զրո","մեկ","երկու","երեք","չորս","հինգ","վեց","յոթ","ութ","ինը","տաս","տասնմեկ","տասներկու","տասներեք","տասնչորս","տասնհինգ","տասնվեց","տասնյոթ","տասնութ","տասնինը","քսան"
"ia","zero","un","duo","tres","quatro","cinque","sex","septe","octo","nove","dece","dece-un","dece-duo","dece-tres","dece-quatro","dece-cinque","dece-sex","dece-septe","dece-octe","dece-nove","vinti"
"id","kosong","satu","dua","tiga","empat","lima","enam","tujuh","delapan","sembilan","sepuluh","sebelas","dua belas","tiga belas","empat belas","lima belas","enam belas","tujuh belas","delapan belas","sembilan belas","dua puluh"
"ie","null","un","du","tri","quar","quin","six","sett","ott","nin","deci","deciun","decidu","decitri","deciquar","deciquin","decisix","decisett","deciott","decinin","duant"
"is","núll","einn","tveir","þrír","fjórir","fimm","sex","sjö","átta","níu","tíu","ellefu","tólf","þrettán","fjórtán","fimmtán","sextán","sautján","átján","nítján","tuttugu"
"it","zero","uno","due","tre","quattro","cinque","sei","sette","otto","nove","dieci","undici","dodici","tredici","quattordici","quindici","sedici","diciassette","diciotto","diciannove","venti"
"ja","零","一","二","三","四","五","六","七","八","九","十","十一","十二","十三","十四","十五","十六","十七","十八","十九","二十"
"jv","nul","siji","loro","telu","papat","lima","nem","pitu","wolu","sanga","sapuluh","sewelas","rolas","telulas","patbelas","limalas","nembelas","pitulas","wolulas","sangalas","rong puluh"
"ka","ერთი","ორი","სამი","ოთხი","ხუთი","ექვსი","შვიდი","რვა","ცხრა","ათი","ათი","თერთმეტი","თორმეტი","ცამეტი","თოთხმეტი","თხუთმეტი","თექვსმეტი","ჩვიდმეტი","თვრამეტი","ცხრამეტი","ოცი"
"kk","нөл","бір","екі","үш","төрт","бес","алты","жеті","сегіз","тоғыз","он","он бір","он екі","он үш","он төрт","он бес","он алтыншы","он жеті","он сегіз","он тоғыз","жиырма"
"kl","nuulu","ataaseq","marluk","pingasut","sisamat","tallimat","arfinillit","arfineq marluk","arfineq pingasut","qulingiluat","qulit","aqqaneq","aqqaneq-marluk","aqqaneq-pingasut","aqqaneq-sisamat","aqqaneq-tallimat","arvirsanillit","arvirsani marluk","arvirsani pingasut","arvirsani sisamat","arvirsani tallimat"
"kn","ಸೊನ್ನೆ","ಒಂದು","ಎರಡು","ಮೂರು","ನಾಲ್ಕು","ಅಯ್ದು","ಆರು","ಏಳು","ಎಂಟು","ಒಂಬತ್ತು","ಹತ್ತು","ಹನ್ನೊಂದು","ಹನ್ನೆರಡು","ಹದಿಮೂರು","ಹದಿನಾಲ್ಕು","ಹದಿನೈದು","ಹದಿನಾರು","ಹದಿನೇಳು","ಹದಿನೆಂಟು","ಹತ್ತೊಂಬತ್ತು","ಇಪ್ಪತ್ತು"
"ko","제로에","하나","둘","셋","넷","다섯","여섯","일곱","여덟","아홉","열","열하나","열둘","열셋","열넷","열다섯","열여섯","열일곱","열여덟","열아홉","스물"
"ks","sifar","akh","zɨ","tre","tsor","pã:tsh","še","sath","ǝ:th","nav","dǝh","ka:h","ba:h","truva:h","ts vda:h","panda:h","šura:h","sada:h","arda:h","kunɨvuh","vuh"
"kw","mann","onen","dew","tri","peswar","pymp","hwegh","seyth","eth","naw","deg","unnek","dewdhek","tredhek","peswardhek","pymthek","hwetek","seytek","etek","nownsek","ugens"
"la","nulla","ūnus","duo","trēs","quattuor","quīnque","sex","septem","octō","novem","decem","ūndecim","duodecim","tredecim","quattuordecim","quīndecim","sēdecim","septendecim","duodēvīgintī","ūndēvīgintī","vīgintī"
"lb","null","eent","zwee","dräi","véier","fënnef","sechs","siwen","aacht","néng","zéng","eelef","zwielef","dräizéng","véierzéng","fofzéng","siechzéng","siwwenzéng","uechtzéng","nonzéng","zwanzeg"
"ln","zeló","mɔ̌kɔ́","míbalé","mísáto","mínei","mítáno","motóbá","nsambo","mwambe","libwá","zómi","zómi na mókó","zómi na míbalé","zómi na mísató","zómi na mínei","zómi na mítáno","zómi na motóba","zómi na sámbó","zómi na nwámbe","zómi na libwá","ntúkú míbalé"
"lt","nulis","vienas","du","trys","keturi","penki","šeši","septyni","aštuoni","devyni","dešimt","vienuolika","dvylika","trylika","keturiolika","penkiolika","šešiolika","septyniolika","aštuoniolika","devyniolika","dvidešimt"
"lv","nulle","viens","divi","trīs","četri","pieci","seši","septiņi","astoņi","deviņi","desmit","vienpadsmit","divpadsmit","trīspadsmit","četrpadsmit","piecpadsmit","sešpadsmit","septiņpadsmit","astoņpadsmit","deviņpadsmit","divdesmit"
"mg","aotra","isa","roa","telo","efatra","dimy","enina","fito","valo","sivy","folo","iraika ambinʼny folo","roa ambinʼny folo","telo ambinʼny folo","efatra ambinʼny folo","dimy ambinʼny folo","enina ambinʼny folo","fito ambinʼny folo","valo ambinʼny folo","sivy ambinʼny folo","roapolo"
"mi","kore","tahi","rua","toru","whā","rima","ono","whitu","waru","iwa","tekau","tekau mā tahi","tekau mā rua","tekau mā toru","tekau mā whā","tekau mā rima","tekau mā ono","tekau mā whitu","tekau mā waru","tekau mā iwa","rua tekau"
"mk","нула","еден","два","три","четири","пет","шест","седум","осум","девет","десет","единаесет","дванаесет","тринаесет","четиринаесет","петнаесет","шеснаесет","седумнаесет","осумнаесет","деветнаесет","дваесет"
"ml","പൂജ്യം","ഒന്നു","രണ്ടു","മൂന്നു","നാലു","അഞ്ചു","ആറു","ഏഴു","എട്ടു","ഒന്പതു","പത്തു","൰൧","൰൨","൰൩","൰൪","൰൫","൰൬","൰൭","൰൮","൰൯","൨൰"
"mn","Тэг","Нэг","Хоёр","Гурав","Дөрөв","Тав","Зургаа","Долоо","Найм","Ес","Арав","Арван нэг","Арван хоёр","Арван гурав","Арван дөрөв","Арван тав","Арван зургаа","Арван долоо","Арван найм","Арван ес","Хорь"
"mr","शून्य","एक","दोन","तीन","चार","पांच","सहा","सात","आठ","नऊ","दहा","अकरा","बारा","तेरा","चौदा","पंघरा","सोळा","सतरा","अठरा","एकोनीस","वीस"
"ms","کوسوڠ","ساتو","دوا","تيݢ","امڤت","ليم","انم","توجوە","لاڤن","سمبيلن","سڤولوه","سبلس","دوا بلس","تيݢ بلس","امڤت بلس","ليم بلس","انم بلس","توجوە بلس","لاڤن بلس","سمبيلن بلس","دوا ڤولوه"
"mt","żero","wieħed","tnejn","tlieta","erbgħa","ħamsa","sitta","sebgħa","tmienja","disgħa","għaxra","ħdax","tnax","tlettax","erbatax","ħmistax","sittax","sbatax","tmintax","dsatax","għoxrin"
"ne","सुन्ना","एक","दुइ","तीन","चार","पाँच","छ","सात","आठ","नौ","दश","एघार","बार्ह","तेर्ह","चौध","पन्ध्र","सोर्ह","सत्र","अठार","उन्नाइस","बीस"
"nl","nul","één","twee","drie","vier","vĳf","zes","zeven","acht","negen","tien","elf","twaalf","dertien","veertien","vijftien","zestien","zeventien","achttien","negentien","twintig"
"no","null","én, éin","to","tre","fire","fem","seks","sju","åtte","ni","ti","elleve","tolv","tretten","fjorten","femten","seksten","sytten","atten","nitten","tjue"
"oc","zero","un","dos","tres","quatre","cinc","sièis","sèt","uèch","nòu","dètz","onze","dotze","tretze","catòrze","quinze","setze","dètz-e-sèt","dètz-e-uèch","dètz-e-nòu","vint"
"om","tokko","tokko","lama","sadi","afur","shan","jaya","torba","saddeet","sagal","khudan","khuda-tokko","khuda-lama","khuda-sadi","khuda-afur","khuda-shan","khuda-jaya","khuda-torba","khuda-saddeet","khuda-sagal","digdama"
"or","ଶୁନ୍ୟ","ଏକ","ଦୁଇ","ତିନି","ଚାରି","ପାଞ୍ଚ","ଛଅ","ସାତ","ଆଠ","ନଅ","ନଅ","ଏଗାର","ବାର","ତେର","ଚଉଦ","ପନ୍ଦର","ଷୋହଳ","ସତର","ଅଠର","ଊଣାଇଶ","କୋଡିଏ"
"pa","ਸਿਫਰ / صفر","ਇੱਕ / اِک","ਦੋ / دو","ਤਿੱਨ / تِن","ਚਾਰ / چار","ਪੰਜ / پنج","ਛੇ / چھ","ਸੱਤ / ست","ਅੱਠ / اَٹھ","ਨੌੰ / نو","ਦੱਸ / دس","ਗਿਆਰਾਂ / گیاراں","ਬਾਰਾਂ / باراں","ਤੇਰਾਂ / تیراں","ਚੌਦਾਂ / چوداں","ਪੰਦਰਾਂ / پندراں","ਸੋਲ਼ਾਂ / سولاں","ਸਤਾਰਾਂ / ستاراں","ਅਠਾਰਾਂ / اٹھاراں","ਉਨੀ / اُنّی","ਵੀਹ / ویہ"
"pl","zero","jeden","dwa","trzy","cztery","pięć","sześć","siedem","osiem","dziewięć","dziesięć","jedenaście","dwanaście","trzynaście","czternaście","piętnaście","szesnaście","siedemnaście","osiemnaście","dziewiętnaście","dwadzieścia"
"ps","صفر","يو","دوه","درې","څلور","پنځه","شپږ","اووه","اته","نه","لس","يوولس","دولس","ديارلس","څوارلس","پنځلس","شپاړس","اووه لس","اتلس","نولس","شل"
"pt","zero","um","dois","três","quatro","cinco","seis","sete","oito","nove","dez","onze","doze","treze","quatorze","quinze","dezesseis","dezessete","dezoito","dezenove","vinte"
"qu","illaq","huq","iskay","kinsa","tawa","pisqa","suqta","qanchis","pusaq","isqun","chunka","chunka huqniyuq","chunka iskayniyuq","chunka kinsaniyuq","chunka tawaniyuq","chunka pisqaniyuq","chunka suqtaniyuq","chunka qanchisniyuq","chunka pusaqniyuq","chunka isqunniyuq","iskay chunka"
"rn","zeru","rimwe","kabiri","gatatu","kane","gatanu","gatandatu","indwi","umunani","icenda","icumi","cumi nu rimwe","cumi nu kabiri","cumi nu gatatu","cumi nu kane","cumi nu gatanu","cumi nu gatandatu","cumi n’","indwi","cumi n’","umunani"
"ro","zero","unu","doi","trei","patru","cinci","șase","șapte","opt","nouă","zece","unsprezece","doisprezece","treisprezece","paisprezece","cincisprezece","șaisprezece","șaptesprezece","optsprezece","nouăsprezece","douăzeci"
"ru","ноль","один","два","три","четыре","пять","шесть","семь","восемь","девять","десять","одиннадцать","двенадцать","тринадцать","четырнадцать","пятнадцать","шестнадцать","семнадцать","восемнадцать","девятнадцать","двадцать"
"rw","zero","rimwe","kabiri","gatatu","kane","gatanu","gatandatu","karindwi","umunani","icyenda","icumi","cumi na rimwe","cumi na kabiri","cumi na gatatu","cumi na kane","cumi na gatanu","cumi na gatandatu","cumi na kalindwi","cumi n’umunane","cumi n’icyenda","makumyabiri"
"sa","शून्य","एकम्","द्वे","त्रीणि","चत्वारि","पञ्च","षष्","सप्त","अष्ट","नव","दश","एकादश","द्वादश","त्रयोदश","चतुर्दश","पञ्चदश","षोडश","सप्तदश","अष्टदश","नवदश","विंशति"
"sd","ٻُڙِي","ھڪ","ٻه","ٽي","چار","پنج","ڇھه","ست","ا‌ٺ","نو","ڏھه","يارھن","ٻارھن","تيرھن","چوڏھن","پنڌرھن","سورھن","سترھن","ارڙھن","اُڻويھه","ويھه"
"sh","нула","један","два","три","четири","пет","шест","седам","осам","девет","десет","једанаест","дванаест","тринаест","четрнаест","петнаест","шеснаест","седамнаест","осамнаест","деветнаест","двадесет"
"si","බින්‍දුව","එක","දෙක","තුන","හතර","පහ","හය","හත","අට","නවය","දහය","එකොළහ","දොළහ","දහතුන","දහහතර","පහළොව","දහසය","දහහත","දහඅට","දහනවය","විස්ස"
"sk","nula","jeden","dva","tri","štyri","päť","šesť","sedem","osem","deväť","desať","jedenásť","dvanásť","trinásť","štrnásť","pätnásť","šestnásť","sedemnásť","osemnásť","devätnásť","dvadsať"
"sl","nič","ena","dva","tri","štiri","pet","šest","sedem","osem","devet","deset","enajst","dvanajst","trinajst ","štirinajst","petnajst","šestnajst","sedemnajst","osemnajst","devetnajst","dvajset"
"sm","'ō","tasi","lua","tolu","fa","lima","ono","fitu","valu","iva","sefulu","sefulu-tasi","sefulu-lua","sefulu-tolu","sefulu-fa","sefulu-lima","sefulu-ono","sefulu-fitu","sefulu-valu","sefulu-iva","lua-sefulu"
"sn","ziro","motsi","piri","tatu","china","shanu","tanhatu","nomwe","sere","pfumbamwe","gumi","gumi neimwe","gumi nembiri","gumi nenhatu","gumi neina","gumi neshanu","gumi nenhanhatu","gumi nenomwe","gumi nesere","gumi nepfumbamwe","makumi maviri"
"so","eber","kow","laba","saddex","afar","shan","lix","toddoba","siddeed","sagaal","toban","koób iyo toban","labá iyo toban","sáddex iyo toban","áfar iyo toban","shán iyo toban","líx iyo toban","toddobá iyo toban","siddeéd iyo toban","sagáal iyo toban","labaátan"
"sq","zero","një","dy","tre","katër","pesë","gjashtë","shtatë","tetë","nëntë","dhjetë","njëmbëdhjetë","dymbëdhjetë","trembëdhjetë","katërmbëdhjetë","pesëmbëdhjetë","gjashtëmbëdhjetë","shtatëmbëdhjetë","tetëmbëdhjetë","nëntëmbëdhjetë","njëzet"
"sr","нула","један","два","три","четири","пет","шест","седам","осам","девет","десет","једанаест","дванаест","тринаест","четрнаест","петнаест","шеснаест","седамнаест","осамнаест","деветнаест","двадесет"
"su","nol","hiji","dua","tilu","opat","lima","genep","tujuh","dalapan","salapan","sapuluh","sabelas","duabelas","tilubelas","opatbelas","limabelas","genepbelas","tujuhbelas","dalapanbelas","salapanbelas","duapuluh"
"sv","noll","en","två","tre","fyra","fem","sex","sju","åtta","nio","tio","elva","tolv","tretton","fjorton","femton","sexton","sjutton","arton","nitton","tjugo"
"sw","sifuri","moja","mbili","tatu","nne","tano","sita","saba","nane","tisa","kumi","kumi na moja","kumi na mbili","kumi na tatu","kumi na nne","kumi na tano","kumi na sita","kumi na saba","kumi na nane","kumi na tisa","ishirini"
"ta","பூஜ்ஜியம்","ஒன்று","இரண்டு","மூன்று","நான்கு","ஐந்து","ஆறு","ஏழு","எட்டு","ஒன்பது","பத்து","பதினொன்று","பன்னிரண்டு","பதின்மூன்று","பதினான்கு","பதினைந்து","பதினாறு","பதினேழு","பதினெட்டு","பத்தொன்பது","இருபது"
"te","సున్న","ఒకటి","రెండు","మూడు","నాలుగు","అయిదు","ఆరు","ఏడు","ఎనిమిది","తొమ్మిది","పది","పదకొండు","పన్నెండు","పదమూడు","పధ్నాలుగు","పదునయిదు","పదహారు","పదిహేడు","పధ్ధెనిమిది","పందొమ్మిది","ఇరవై"
"tg","сифр","як","ду","ce","чор","панҷ","шаш","ҳафт","ҳашт","нӯҳ","даҳ","ёздаҳ","дувоздаҳ","сездаҳ","чордаҳ","понздаҳ","шонздаҳ","ҳабдаҳ","ҳашдаҳ","нуздаҳ","бист"
"th","ศูนย์","หนื่ง","สอง","สาม","สี่","ห้า","หก","เจ็ด","แปด","เก้า","สิบ","สิบเอ็ด","สิบสอง","สิบสาม","สิบสี่","สิบห้า ","สิบหก","สิบเจ็ด","สิบแปด","สิบเก้า","ยี่สิบ"
"ti","bado","hade","kilte","seleste","arba’ete","hamushte","shidishte","shob’ate","shomonte","tishi’ate","aserte","aserte hade","aserte kilte","aserte seleste","aserte arba’ete","aserte hamushte","aserte shidishte","aserte shob’ate","aserte shomonte","aserte tishi’ate","isra"
"tk","nol","bir","iki","üç","dört","bäş","alty","ýedi","sekiz","dokuz","on","on bir","on iki","on üç","on dört","on bäş","on alty","on ýedi","on sekiz","on dokuz","ýigrimi"
"tl","wala","isá","dalawá","tatló","apat","limá","anim","pitó","waló","siyám","sampû","labingisá","labindalawá","labintatló","labingapat","labinlimá","labinganim","labimpitó","labingwaló","labinsiyám","dalawampû"
"tn","lefela","nngwe","pedi","tharo","nne","tlhano","thataro","supa","robedi","robongwe","lesome ","some le bongwe","some le bobedi","some le boraro","some le bone","some le botlhano","some le borataro","some le bosupa","some le borobedi","some le borobongwe","masome pedi"
"tr","sıfır","bir","iki","üç","dört","beş","altı","yedi","sekiz","dokuz","on","on bir","on iki","on üç","on dört","on beş","on altı","on yedi","on sekiz","on dokuz","yirmi"
"ts","noto","n’we","mbirhi","nharhu","mune","ntlhanu","ntsevu","nkombo","nhungu","nkaye","khume","khume-n’we","khume-mbirhi","khume-nharhu","khume-mune","khume-ntlhanu","khume-ntsevu","khume-nkombo","khume-nhungu","khume-nkaye","makhume-mambhirhi"
"tt","сыфыр","бир","эки","учь","дёрт","беш","алты","еди","секиз","докъуз","он","он бир","он эки","он учь","он дёрт","он беш","он алты","он еди","он секиз","он докъуз","йигирми"
"uk","нуль","один","два","три","чотири","п’ять","шiсть","сiм","вiсiм","дев’ять","десять","одинадцять","дванадцять","тринадцять","чотирнадцять","п’ятнадцять","шістнадцять","сімнадцять","вісімнадцять","дев’ятнадцять","двадцять"
"uz","нол","бир","икки","уч","тўрт","беш","олти","етти","саккиз","тўққиз","ўн","ўн бир","ўн икки","ўн уч","ўн тўрт","ўн беш","ўн олти","ўн етти","ўн саккиз","ўн тўққиз","ийгирма"
"vi","không","𠬠","𠄩","𠀧","𦊚","𠄼","𦒹","𦉱","𠔭","𠃩","𨒒","𨒒𠬠","𨒒𠄩","𨒒𠀧","𨒒𦊚","𨒒𠄼","𨒒𦒹","𨒒𦉱","𨒒𠔭","𨒒𠃩","𠄩𨒒"
"vo","ser","bal","tel","kil","fol","lul","mäl","vel","jöl","zül","deg","deg bal","deg tel","deg kil","deg fol","deg lul","deg mäl","deg vel","deg jöl","deg zül","teldeg"
"wo","tus","benn","ñaar","ñett","ñent","juróom","juróom benn","juróom ñaar","juróom ñett","juróom ñent","fukk","fukk ak been","fukk ak ňaar","fukk ak natfukk ak ñet","fukk ak neentfukk ak ñent","fukk ak juroom","fukk ak juroom been","fukk ak juroom ňaar","fukk ak juroom natfukk ak juróom ñett","fukk ak juroom neentfukk ak juróom ñent","naar fukk"
"xh","unothi","inye","zimbini","zintathu","zine","zintlanu","zintandathu","isixhenxe","sisibhozo","lithoba","lishumi","lishumi elinanye","lishumi elinesbini","lishumi elinesithathu","lishumi elinesine","lishumi elinesihlanu","lishumi elinesithandathu","lishumi elinesixhenxe","lishumi elinesibhozo","lishumi elinethoba","amashumi amabini"
"yi","נול","אײנס","צװײ","דרײַ","פֿיר","פֿינף","זעקס","זיבן","אַכט","נײַן","צען","עלף","צװעלף","דרײַצן","פֿערצן","פֿופֿצן","זעכצן","זיבעצן","אַכצן","נײַנצן","צװאַנציק"
"yo","odo","ení, ọ̀kan","èjì","ẹ̀ta","ẹ̀rin","àrún","ẹ̀fà","èje","ẹ̀jọ","ẹ̀sán","ẹ̀wá","ọ̀kanlá","èjìlá","ẹ̀talá","ẹ̀rinlá","ẹ́ẹdógún","ẹẹ́rìndílógún","eétàdílógún","eéjìdílógún","oókàndílógún","ogún"
"zu","iqanda","kunye","kubili","kuthathu","kune","kuhlanu","isithupha","isikhombisa","isishiyagalombili","isishiyagalolunye","ishumi","ishumi nanye","ishumi nambili","ishumi nantathu","ishumi nane","ishumi nanhlanu","ishumi nesithupha","ishumi nesikhombisa","ishumi nesishiyagalombili","ishumi nesishiyagalolunye","amashumi amabili"